question,answer
Про скільки книг зберігає дані датасет?,351
Чи є в якихось змінних пропуски? (Так / ні),Ні
Які є унікальні жанри?,Non FictionFiction
Максимальна ціна?,0.0
Мінімальна ціна?,105.0
Середня ціна?,13.1
Медіанна ціна?,11.0
Який рейтинг у датасеті найвищий?,4.9
Скільки книг мають такий рейтинг?,28
Яка книга має найбільше відгуків?,Where the Crawdads Sing
"З тих книг, що потрапили до Топ-50 у 2015 році, яка книга найдорожча?",Hamilton: The Revolution?
Скільки книг жанру Fiction потрапили до Топ-50 у 2010 році?,20
Скільки книг з рейтингом 4.9 потрапило до рейтингу у 2010 та 2011 роках?,1
Яка книга остання у відсортованому списку?,Old School (Diary of a Wimpy Kid #10)
Максимальна ціна для жанру Fiction,82
Мінімальна ціна для жанру Fiction,0
Максимальна ціна для жанру Non Fiction,105
Мінімальна ціна для жанру Non Fiction,0
Якої розмірності вийшла таблиця?,"(248, 2)"
Який автор має найбільше книг?,Jeff Kinney
Скільки книг цього автора?,12
У якого автора середній рейтинг мінімальний?,Donna Tartt
Який у цього автора середній рейтинг?,3.9
Який автор перший у списку?,Muriel Barbery
